기온분석
[검색조건]
자료구분 : 일
지역/지점 : 홍성
기간 : 20010401~20180527

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-02-26,177,2.9,-1.5,7.2
2016-02-27,177,3.5,0.2,9
2016-02-28,177,0.9,-2.9,3.1
2016-02-29,177,-1.8,-3.7,0.1
2016-03-01,177,-2.6,-9,2.1
2016-03-02,177,3.4,-2.5,7.8
2016-03-03,177,7.8,3,13.9
2016-03-04,177,11.1,5.9,17.2
2016-03-05,177,12.8,8.3,19
2016-03-06,177,8.4,5.3,12.9
2016-03-07,177,7.1,2.9,13.6
2016-03-08,177,3.8,0.2,6.5
2016-03-09,177,1.2,-0.7,4.6
2016-03-10,177,0.5,-2,3.4
2016-03-11,177,0,-5.6,5.2
2016-03-12,177,1.7,-5.4,7.4
2016-03-13,177,3.3,-0.5,7.8
2016-03-14,177,3.3,-1,8.8
2016-03-15,177,4.5,-4,12.9
2016-03-16,177,7,0.3,14.6
2016-03-17,177,8.6,-1.9,16.9
2016-03-18,177,11,6.5,17.1
2016-03-19,177,9.2,3.3,16.4
2016-03-20,177,7.6,0.7,14.8
2016-03-21,177,7.3,-0.2,16
2016-03-22,177,7.4,0.6,14.9
2016-03-23,177,7.7,3.2,12.6
2016-03-24,177,6.1,0.3,13.7
2016-03-25,177,4.6,-2.9,12.1
2016-03-26,177,4.1,-3,12.7
2016-03-27,177,6.1,-2.2,13.6
2016-03-28,177,8.8,-2.5,16.4
2016-03-29,177,12.1,6.5,16.6
2016-03-30,177,11.6,3.9,20.2
2016-03-31,177,12,1.6,22.7
2016-04-01,177,12.8,1.9,23.9
2016-04-02,177,13.2,2.5,21.6
2016-04-03,177,11.3,8.7,14.3
2016-04-04,177,12.7,6.2,19.7
2016-04-05,177,10.7,2.9,18.7
2016-04-06,177,11.9,1.4,23.5
2016-04-07,177,12.8,9.4,19.1
2016-04-08,177,11.4,7.6,19.7
2016-04-09,177,12.9,7.9,19.9
2016-04-10,177,13.3,8.2,21
2016-04-11,177,12.7,5,20.1
2016-04-12,177,14,7.7,20.7
2016-04-13,177,14.9,11,21.2
2016-04-14,177,12.1,7.6,19.1
2016-04-15,177,13,5.7,23.1
2016-04-16,177,13.5,5.5,20.1
2016-04-17,177,11.5,9.8,15.1
2016-04-18,177,11.6,6.9,16.7
2016-04-19,177,11.5,5.5,18.6
2016-04-20,177,12.4,6.2,17.7
2016-04-21,177,13.7,10.7,18
2016-04-22,177,14.4,11.5,22
2016-04-23,177,13,8.2,20.4
2016-04-24,177,13.5,4.7,22.4
2016-04-25,177,15.6,6.8,25.2
2016-04-26,177,17.5,7.3,27.7
2016-04-27,177,14.7,12.3,17.3
2016-04-28,177,14.5,9.7,20.9
2016-04-29,177,13.9,7.7,20.1
2016-04-30,177,16,8.5,21.2
2016-05-01,177,19.4,10.1,24.9
2016-05-02,177,19.7,13.3,28.4
2016-05-03,177,14.3,11.1,19.1
2016-05-04,177,16.4,11.4,21.7
2016-05-05,177,19.2,9,27.1
2016-05-06,177,17.3,11.2,21.9
2016-05-07,177,15.4,8.7,22.7
2016-05-08,177,17.3,7.8,26
2016-05-09,177,18.5,11.4,26.2
2016-05-10,177,14.2,12.7,17.2
2016-05-11,177,15.9,10.9,23
2016-05-12,177,16.9,10.7,22.3
2016-05-13,177,16.7,12.8,22.1
2016-05-14,177,18.7,12.2,25.7
2016-05-15,177,17.4,12.3,24.7
2016-05-16,177,15.8,10.9,21.5
2016-05-17,177,19,10.8,27
2016-05-18,177,20.4,11.8,28.7
2016-05-19,177,20.6,12.2,30.5
2016-05-20,177,21.4,12.7,29.4
2016-05-21,177,21.9,14.9,29.6
2016-05-22,177,21.3,12.8,29.9
2016-05-23,177,21.8,13.8,29
2016-05-24,177,17.6,14.4,21.6
2016-05-25,177,19.4,14.2,24.1
2016-05-26,177,20.1,15.7,24.2
2016-05-27,177,20.6,15.7,28.4
2016-05-28,177,20.4,15.9,26.3
2016-05-29,177,20.4,15.4,27
2016-05-30,177,20.7,13.9,28.7
2016-05-31,177,20.6,15.5,26.3
2016-06-01,177,22.1,16.9,28.9
2016-06-02,177,21.7,15.5,28.1
2016-06-03,177,22,16.3,28.7
2016-06-04,177,19.2,17.4,21.2
2016-06-05,177,22.4,14.8,29.9
2016-06-06,177,21.3,17.4,25.7
2016-06-07,177,22.1,18,26.9
2016-06-08,177,20.6,17.2,25.6
2016-06-09,177,22.4,15.9,29.7
2016-06-10,177,23,17.8,29
2016-06-11,177,24.1,20.6,28.2
2016-06-12,177,23.2,20.4,26.1
2016-06-13,177,22.3,18.8,28.1
2016-06-14,177,21.8,17.7,27.6
2016-06-15,177,21.4,19,26.1
2016-06-16,177,20.6,18.5,24.5
2016-06-17,177,22.5,16.8,28.6
2016-06-18,177,23.4,18,28.9
2016-06-19,177,24.1,20,28.5
2016-06-20,177,23.6,18.9,30.1
2016-06-21,177,24.6,19.5,30.8
2016-06-22,177,24.4,20.7,30.5
2016-06-23,177,24.5,19.7,30.1
2016-06-24,177,21.8,19.8,26.7
2016-06-25,177,22.7,19.3,26.7
2016-06-26,177,23.5,17.5,30
2016-06-27,177,23,16.7,29.5
2016-06-28,177,23.2,17,29.8
2016-06-29,177,23.8,20.6,27.2
2016-06-30,177,24.5,22.4,28
2016-07-01,177,24.7,22.8,27.1
2016-07-02,177,23.9,21.4,27.9
2016-07-03,177,22.6,21.1,24.8
2016-07-04,177,22.4,20.4,25.3
2016-07-05,177,25.6,22.2,28
2016-07-06,177,23.4,21.1,28.6
2016-07-07,177,24,21,28.1
2016-07-08,177,26,21.2,31.7
2016-07-09,177,25.8,20.2,32.4
2016-07-10,177,25.7,20.4,31.8
2016-07-11,177,26,21.7,32.6
2016-07-12,177,25.2,22.5,29.6
2016-07-13,177,25.1,20.7,30
2016-07-14,177,25.9,22.7,30.5
2016-07-15,177,25,21.7,29.1
2016-07-16,177,22,20.4,25
2016-07-17,177,21.9,20.5,24.8
2016-07-18,177,22.9,18.4,28.1
2016-07-19,177,25.3,18.4,32
2016-07-20,177,27.2,22.1,32.7
2016-07-21,177,27.9,22.6,32
2016-07-22,177,28.3,22.9,33.1
2016-07-23,177,28.4,24.1,31.9
2016-07-24,177,28.2,25.8,31.2
2016-07-25,177,28,25,32
2016-07-26,177,27.7,22.9,32
2016-07-27,177,27.8,25.9,29.6
2016-07-28,177,27.1,23.5,30.5
2016-07-29,177,,23.1,27.5
2016-07-30,177,28.4,25.4,32.1
2016-07-31,177,27.9,24.5,33
2016-08-01,177,27.1,23.6,31.7
2016-08-02,177,26.4,24.3,30.3
2016-08-03,177,27.1,23,32.5
2016-08-04,177,28.6,23.3,33.4
2016-08-05,177,29.1,23.8,34.9
2016-08-06,177,28.2,23.6,34.3
2016-08-07,177,27.7,23.6,33.3
2016-08-08,177,27.6,22.5,34.1
2016-08-09,177,28.7,23.4,34
2016-08-10,177,28.5,24,33.8
2016-08-11,177,28.1,22.2,34.7
2016-08-12,177,28,22.9,34.7
2016-08-13,177,28.2,23.1,33.7
2016-08-14,177,28.5,24.1,33.7
2016-08-15,177,28,24.2,32.9
2016-08-16,177,27.8,22.7,34.6
2016-08-17,177,27.5,22,34.1
2016-08-18,177,27.7,22.4,33.4
2016-08-19,177,28.2,24,34.4
2016-08-20,177,28.8,24.2,34.9
2016-08-21,177,27.8,24.2,33.1
2016-08-22,177,27.5,22,34.3
2016-08-23,177,27.3,22.9,32.8
2016-08-24,177,27.3,23.3,33.2
2016-08-25,177,27.8,22,33.5
2016-08-26,177,21.8,18.7,26.2
2016-08-27,177,22.4,17,29
2016-08-28,177,19.7,16.5,24.9
2016-08-29,177,21.4,15.3,27.3
2016-08-30,177,22.1,18.7,24.3
2016-08-31,177,21.3,18.1,24.1
2016-09-01,177,25.4,19.7,29.7
2016-09-02,177,23.9,20.1,29.1
2016-09-03,177,24.1,20.1,29.8
2016-09-04,177,24.7,19.1,31.5
2016-09-05,177,25.2,21,31
2016-09-06,177,22.7,17.6,27.6
2016-09-07,177,23,18.6,29.3
2016-09-08,177,23.7,19.6,28.8
2016-09-09,177,22.7,18.3,28.7
2016-09-10,177,22.8,16.1,30.2
2016-09-11,177,23,17.3,29.4
2016-09-12,177,22.9,19.8,29
2016-09-13,177,23.3,17.7,29.7
2016-09-14,177,22.7,17.7,29
2016-09-15,177,21.6,15.8,29
2016-09-16,177,21.8,18.2,26.5
2016-09-17,177,20.6,19.4,22
2016-09-18,177,20.9,17.2,24.6
2016-09-19,177,20.2,16.3,27.3
2016-09-20,177,18.5,12.8,24.3
2016-09-21,177,17.9,11,24.7
2016-09-22,177,19.5,15.2,25.8
2016-09-23,177,19.4,12.7,26.8
2016-09-24,177,20.3,13.8,27.7
2016-09-25,177,20.5,15.4,27
2016-09-26,177,22,16.8,29.2
2016-09-27,177,20.5,19.1,22.4
2016-09-28,177,20.6,18.6,25.3
2016-09-29,177,20.4,17.5,24.9
2016-09-30,177,19,16.3,22.6
2016-10-01,177,19.5,15.9,23.3
2016-10-02,177,19.6,17.5,23.2
2016-10-03,177,23,16.6,28.2
2016-10-04,177,20.7,13.7,28.9
2016-10-05,177,20.2,16.3,26.3
2016-10-06,177,17,11.9,22.8
2016-10-07,177,17.6,11,24.8
2016-10-08,177,17.8,13.8,22.1
2016-10-09,177,12,6.9,16.4
2016-10-10,177,11.3,6.8,16.9
2016-10-11,177,13.5,7.6,21.2
2016-10-12,177,14.2,9.5,20.3
2016-10-13,177,12.9,7.5,20
2016-10-14,177,14.1,6.8,22.4
2016-10-15,177,16.2,8.6,24.7
2016-10-16,177,16.6,13.8,19.8
2016-10-17,177,17,12.2,22.5
2016-10-18,177,14.6,8.3,22.2
2016-10-19,177,15,9.6,23.9
2016-10-20,177,15.3,9.8,21.6
2016-10-21,177,17.1,14.7,19.8
2016-10-22,177,17.2,13.3,21.8
2016-10-23,177,14.3,11.7,18.4
2016-10-24,177,15,9.4,20.5
2016-10-25,177,15,11.1,19.8
2016-10-26,177,13.3,7.9,18.6
2016-10-27,177,13.1,6.8,17.6
2016-10-28,177,14.4,12.5,16.8
2016-10-29,177,9.4,5.1,12.5
2016-10-30,177,6.3,-0.1,14.1
2016-10-31,177,8.2,3.7,11.3
2016-11-01,177,3.7,-1.1,7.8
2016-11-02,177,4.9,-3.2,11.7
2016-11-03,177,9,3.1,16
2016-11-04,177,11.6,2.9,17.1
2016-11-05,177,14.7,9.3,18.5
2016-11-06,177,14.6,10.4,19.8
2016-11-07,177,13.3,8.8,19
2016-11-08,177,6.6,2,10.7
2016-11-09,177,3,-3.5,9.1
2016-11-10,177,5.3,0.7,10.2
2016-11-11,177,9.6,3.6,15
2016-11-12,177,10.6,1.6,17.4
2016-11-13,177,13.7,8.1,19.8
2016-11-14,177,14.7,9.1,20.8
2016-11-15,177,6.9,0.9,12.7
2016-11-16,177,3.7,-2,11.1
2016-11-17,177,6.6,-0.3,14.9
2016-11-18,177,8,0.4,13.2
2016-11-19,177,13.2,9.8,16.8
2016-11-20,177,9.8,4.6,15.5
2016-11-21,177,8.1,3.8,11.3
2016-11-22,177,4.7,0.9,9.5
2016-11-23,177,1.1,-3.1,5.3
2016-11-24,177,-0.2,-3.8,4.8
2016-11-25,177,1.2,-4.1,7.2
2016-11-26,177,0.6,-3.6,3.7
2016-11-27,177,3.8,-0.6,10.8
2016-11-28,177,3,-2.5,8.4
2016-11-29,177,1,-4.6,8
2016-11-30,177,5.5,-2.3,10.7
2016-12-01,177,6.5,-1,10.5
2016-12-02,177,1,-5.2,8.4
2016-12-03,177,2,-4.7,9.6
2016-12-04,177,4.6,-1.2,10.7
2016-12-05,177,9,3.6,13.1
2016-12-06,177,0.4,-6.3,5.7
2016-12-07,177,3.8,-6.2,11
2016-12-08,177,3.7,-4.1,9.1
2016-12-09,177,4.4,-1.6,8.5
2016-12-10,177,-1.1,-6.2,5.5
2016-12-11,177,-2,-7.5,6
2016-12-12,177,1.7,-4.4,8
2016-12-13,177,2.6,-2.6,8.4
2016-12-14,177,-0.4,-4.3,2.9
2016-12-15,177,-1.6,-5.4,2.3
2016-12-16,177,-2,-9.7,3.1
2016-12-17,177,4.9,-1,11.2
2016-12-18,177,5.1,1.4,10.2
2016-12-19,177,8.1,4,14.2
2016-12-20,177,4.7,0.1,11.7
2016-12-21,177,7.1,-1,13.9
2016-12-22,177,7.3,3.9,16.6
2016-12-23,177,0.9,-0.5,3.9
2016-12-24,177,-1,-2.8,1.1
2016-12-25,177,0.1,-4.4,4.4
2016-12-26,177,2.7,1,4.1
2016-12-27,177,0.6,-4.2,3.5
2016-12-28,177,-2.8,-8.2,2.4
2016-12-29,177,-1.9,-6.1,1
2016-12-30,177,-1.9,-8.5,3.7
2016-12-31,177,2.9,-0.4,7.9
2017-01-01,177,3.7,-1.4,10.1
2017-01-02,177,6,0.8,11.1
2017-01-03,177,3.4,-2.4,8.8
2017-01-04,177,4.2,-0.7,10.9
2017-01-05,177,3.9,-1.5,7.9
2017-01-06,177,5,-0.5,11.4
2017-01-07,177,3,-3.1,8.9
2017-01-08,177,6.8,1.4,12.2
2017-01-09,177,3.5,-3.2,7
2017-01-10,177,-0.8,-4.3,3.7
2017-01-11,177,-2.6,-8.2,1.1
2017-01-12,177,0.2,-5.6,4.9
2017-01-13,177,-4.3,-8.1,-0.5
2017-01-14,177,-5.1,-9,-2.9
2017-01-15,177,-6.1,-13.4,1
2017-01-16,177,-4.7,-11.1,2.8
2017-01-17,177,-3.1,-9.7,4
2017-01-18,177,-0.5,-4.7,5.2
2017-01-19,177,-2.3,-6.2,3.9
2017-01-20,177,-3.1,-10.1,0
2017-01-21,177,-4.2,-11,1.3
2017-01-22,177,-4.3,-9.1,0.6
2017-01-23,177,-6.4,-11.7,-1.8
2017-01-24,177,-7.1,-14.2,0.6
2017-01-25,177,-6.3,-13.8,1.2
2017-01-26,177,-1.4,-11.9,4.9
2017-01-27,177,-0.2,-5.4,6.1
2017-01-28,177,-1,-7.8,4.3
2017-01-29,177,1.1,0.3,2.5
2017-01-30,177,-2.7,-7.9,1.5
2017-01-31,177,-4.7,-9.8,0
2017-02-01,177,-1.9,-6.7,2.9
2017-02-02,177,-1.7,-9,4.8
2017-02-03,177,1.3,-3.3,7.8
2017-02-04,177,0.8,-4.5,4.6
2017-02-05,177,2.9,1.7,4.2
2017-02-06,177,0.2,-2.2,3.5
2017-02-07,177,-1.1,-5.3,4.9
2017-02-08,177,-0.6,-5.3,3.5
2017-02-09,177,-2.3,-4.1,0.2
2017-02-10,177,-3.8,-6.2,-1.2
2017-02-11,177,-1.6,-6.7,1.4
2017-02-12,177,-0.7,-7.4,5.3
2017-02-13,177,-0.2,-7.1,5.5
2017-02-14,177,0.5,-5,7.4
2017-02-15,177,1,-7.2,8.9
2017-02-16,177,6.6,-5.2,12.8
2017-02-17,177,2.6,-3.4,10.7
2017-02-18,177,-0.9,-7.2,4.4
2017-02-19,177,3.6,-5.3,9.7
2017-02-20,177,0.7,-3.6,8.7
2017-02-21,177,-0.3,-7,6.9
2017-02-22,177,1.7,-0.8,3.3
2017-02-23,177,0.5,-2.8,4.2
2017-02-24,177,0.1,-6,5.9
2017-02-25,177,3,-2.8,8.3
2017-02-26,177,2.6,-2.7,9.7
2017-02-27,177,2.3,-4.4,10.3
2017-02-28,177,4.2,-4.5,12.4
2017-03-01,177,5.1,0.4,12.3
2017-03-02,177,2.4,-1.7,5.9
2017-03-03,177,3,-3.2,10.3
2017-03-04,177,4,-3.4,13.9
2017-03-05,177,5,-1.6,12.8
2017-03-06,177,2.1,-1.3,5.3
2017-03-07,177,0.1,-2.8,2.9
2017-03-08,177,1.6,-4.5,5.9
2017-03-09,177,4.6,-1.7,9.9
2017-03-10,177,4.8,-2,12.7
2017-03-11,177,5.6,-4.2,17.1
2017-03-12,177,7.3,-1.7,15.5
2017-03-13,177,6.2,0.6,11.9
2017-03-14,177,5.5,-1.6,10.5
2017-03-15,177,4.3,-3.3,12.7
2017-03-16,177,4.1,-3.9,12.3
2017-03-17,177,6,-3.3,15.7
2017-03-18,177,7.4,0.6,17.5
2017-03-19,177,8,-2.5,17.9
2017-03-20,177,7.7,-0.8,13.5
2017-03-21,177,7,1.1,11.9
2017-03-22,177,6.3,-2.1,14.3
2017-03-23,177,7.7,0.9,15
2017-03-24,177,6.6,-1.3,15.6
2017-03-25,177,7.3,2.4,12.3
2017-03-26,177,5.6,-0.7,10.5
2017-03-27,177,7.1,3.3,11.8
2017-03-28,177,7.7,-0.9,13.6
2017-03-29,177,8.5,1.9,15.9
2017-03-30,177,8.9,-0.9,17.2
2017-03-31,177,10.5,6.1,14.7
2017-04-01,177,9.5,3.9,15.2
2017-04-02,177,7.9,-0.6,16.2
2017-04-03,177,11,3.8,19.4
2017-04-04,177,12.7,2,21.1
2017-04-05,177,11.7,8.5,15.2
2017-04-06,177,11.4,9.6,15.1
2017-04-07,177,13.1,8.9,21.9
2017-04-08,177,12.3,5.3,21.3
2017-04-09,177,14.6,9.2,21.7
2017-04-10,177,15.7,10.8,21.7
2017-04-11,177,13.7,8.7,18.9
2017-04-12,177,12.3,7.9,16.9
2017-04-13,177,12.5,5.7,17.9
2017-04-14,177,14.8,12,18
2017-04-15,177,16.3,9.8,22.8
2017-04-16,177,17.4,9.9,27.7
2017-04-17,177,13.2,9.7,16.6
2017-04-18,177,12,8.4,18.6
2017-04-19,177,12.9,6.7,18.5
2017-04-20,177,10.7,7.4,14.4
2017-04-21,177,11.9,3.2,20.6
2017-04-22,177,13.4,5.3,21.3
2017-04-23,177,13.3,3.8,21.3
2017-04-24,177,12.9,2.6,20.3
2017-04-25,177,16.2,8.4,21.6
2017-04-26,177,15.6,11.8,20.5
2017-04-27,177,12.9,4.8,20.5
2017-04-28,177,13.9,7.6,20.9
2017-04-29,177,16,8,23.2
2017-04-30,177,17.9,13.4,24.5
2017-05-01,177,18,11.7,28.1
2017-05-02,177,18.1,10.2,27.1
2017-05-03,177,19,8.6,29.3
2017-05-04,177,19.5,10.9,27.3
2017-05-05,177,20.8,16.1,28
2017-05-06,177,14.6,8.8,20.1
2017-05-07,177,16.4,9.2,23.8
2017-05-08,177,16.7,10.2,22.6
2017-05-09,177,15.6,11.4,21.5
2017-05-10,177,15.3,12.9,19.4
2017-05-11,177,18.2,13.1,24.9
2017-05-12,177,19.9,16.1,22.3
2017-05-13,177,16.8,12.7,23.8
2017-05-14,177,16.2,11.1,21
2017-05-15,177,15.5,11,20.3
2017-05-16,177,15.7,11.3,21.2
2017-05-17,177,17.7,9.3,25.7
2017-05-18,177,19,10.3,26.5
2017-05-19,177,19.8,13.6,27.2
2017-05-20,177,19.6,10.9,27.6
2017-05-21,177,20,12.7,27.3
2017-05-22,177,20.4,12.7,27.8
2017-05-23,177,19.9,14.1,24.7
2017-05-24,177,20.2,16.1,25.7
2017-05-25,177,18.5,12.9,24.5
2017-05-26,177,17.1,12.8,22.1
2017-05-27,177,17.6,10.7,24.8
2017-05-28,177,19.7,12.9,26
2017-05-29,177,21.6,17.4,26.8
2017-05-30,177,22.7,15.9,29.3
2017-05-31,177,21.5,15,27.2
2017-06-01,177,22.2,18.8,25.5
2017-06-02,177,20,12.6,25.9
2017-06-03,177,19.7,13.8,25.2
2017-06-04,177,20.2,11.5,28.2
2017-06-05,177,21.5,12.6,28.5
2017-06-06,177,18.4,15.3,22.3
2017-06-07,177,18.4,16.7,20.4
2017-06-08,177,19.7,16.4,25.2
2017-06-09,177,21.1,16.3,26.1
2017-06-10,177,21.5,17.3,26.4
2017-06-11,177,20.6,11.6,29
2017-06-12,177,21.2,15.1,28.6
2017-06-13,177,20.5,15.9,26.7
2017-06-14,177,20.5,14.3,26.9
2017-06-15,177,21.8,16.2,28.5
2017-06-16,177,23.6,18.1,30.2
2017-06-17,177,23,17.2,29.1
2017-06-18,177,23.1,15.5,31.6
2017-06-19,177,23.7,16,31.6
2017-06-20,177,23.5,17.3,30.9
2017-06-21,177,23.5,19.2,29.5
2017-06-22,177,24.1,17.8,31.5
2017-06-23,177,25,17.9,32.8
2017-06-24,177,22.1,19.4,29.8
2017-06-25,177,23.4,17.4,29.4
2017-06-26,177,23.1,19.5,29.6
2017-06-27,177,23.6,20,28.7
2017-06-28,177,24.6,20.5,29.8
2017-06-29,177,24.5,19.6,30.4
2017-06-30,177,25.2,21,30.8
2017-07-01,177,23.7,21.5,25.4
2017-07-02,177,26.2,24.7,28
2017-07-03,177,24.6,23.5,26.4
2017-07-04,177,26.2,23.4,30.5
2017-07-05,177,26.7,23.1,32.1
2017-07-06,177,25.5,22.1,32.1
2017-07-07,177,26.3,23,28.9
2017-07-08,177,26,24.1,27.5
2017-07-09,177,27.1,24.6,31.7
2017-07-10,177,25.9,25.1,27.5
2017-07-11,177,25.2,22.8,28.7
2017-07-12,177,26.2,22.6,31
2017-07-13,177,26.4,21.1,32.2
2017-07-14,177,26.8,23.6,31.8
2017-07-15,177,25.3,23.4,28.5
2017-07-16,177,26.4,23.6,27.9
2017-07-17,177,25.5,23.2,27.7
2017-07-18,177,25.9,22.8,29.5
2017-07-19,177,27,23.9,32
2017-07-20,177,28.5,23.6,33.3
2017-07-21,177,29.3,26.7,32.7
2017-07-22,177,28.2,26.5,30.6
2017-07-23,177,27.5,26.4,29.3
2017-07-24,177,27.5,26.5,29.7
2017-07-25,177,28.4,25.3,32.1
2017-07-26,177,27.1,22.6,32.1
2017-07-27,177,27.4,23.1,31.8
2017-07-28,177,26.8,24.8,30
2017-07-29,177,27.3,24.6,32.3
2017-07-30,177,27.3,22.4,32.4
2017-07-31,177,24.6,23.4,25.8
2017-08-01,177,26.7,23.3,31.8
2017-08-02,177,27.9,23.9,33.6
2017-08-03,177,27.8,24.1,32.4
2017-08-04,177,28.2,22.9,34.1
2017-08-05,177,29.4,24.7,35.2
2017-08-06,177,28.3,25.4,33.7
2017-08-07,177,27.9,23.5,33.3
2017-08-08,177,26.5,22.6,31.1
2017-08-09,177,24.9,23.7,26.7
2017-08-10,177,25.7,23.5,29.6
2017-08-11,177,26,22.6,31.7
2017-08-12,177,26.1,21.9,31.7
2017-08-13,177,24.3,22.4,25.9
2017-08-14,177,22.2,21.2,23.8
2017-08-15,177,23.4,21.4,25.1
2017-08-16,177,25.3,22.6,28.8
2017-08-17,177,25.2,22,29.8
2017-08-18,177,24.1,20.7,28.7
2017-08-19,177,24.3,21.5,28.4
2017-08-20,177,24.7,22.4,28.1
2017-08-21,177,25.3,22.8,27.8
2017-08-22,177,,23.5,27.3
2017-08-23,177,27.8,24.6,30.8
2017-08-24,177,27.1,22.7,29.1
2017-08-25,177,24.9,19.8,31.2
2017-08-26,177,22.4,17.7,28.7
2017-08-27,177,22.1,16.6,28.3
2017-08-28,177,22.7,17.7,27.5
